Sensor ID: 23931, Street: QUEENSBERRY STREET, Lat: -37.8033586, Lon: 144.9516379, ZoneType: Residential
Sensor ID: 23933, Street: FARADAY STREET, Lat: -37.7984317, Lon: 144.9651487, ZoneType: Residential
Sensor ID: 23934, Street: CATHEDRAL PLACE, Lat: -37.811016, Lon: 144.9774785, ZoneType: General
Sensor ID: 23936, Street: KAVANAGH STREET, Lat: -37.8256379, Lon: 144.9625654, ZoneType: Residential
Sensor ID: 26734, Street: CLARENDON STREET, Lat: -37.8108225, Lon: 144.9836017, ZoneType: Residential
Sensor ID: 25242, Street: ALBERT STREET, Lat: -37.8108631, Lon: 144.9883928, ZoneType: Residential
Sensor ID: 26496, Street: LITTLE COLLINS STREET, Lat: -37.8128073, Lon: 144.9718934, ZoneType: Commercial
Sensor ID: 26332, Street: COLLINS STREET, Lat: -37.820459, Lon: 144.9490075, ZoneType: Commercial
Sensor ID: 23929, Street: QUEENSBERRY STREET, Lat: -37.8034288, Lon: 144.9531251, ZoneType: Residential
Sensor ID: 27658, Street: ACLAND STREET, Lat: -37.8334288, Lon: 144.9851525, ZoneType: Residential
Sensor ID: 26878, Street: BOURKE STREET, Lat: -37.8143424, Lon: 144.9625243, ZoneType: Residential
Sensor ID: 26860, Street: FLINDERS LANE, Lat: -37.8167643, Lon: 144.9660155, ZoneType: Commercial
Sensor ID: 26699, Street: ALBERT STREET, Lat: -37.8094012, Lon: 144.9738487, ZoneType: Center
Sensor ID: 25111, Street: VICTORIA STREET, Lat: -37.8060052, Lon: 144.9587311, ZoneType: Residential
Sensor ID: 28110, Street: CLARENDON STREET, Lat: -37.8156703, Lon: 144.9827786, ZoneType: Residential
Sensor ID: 26980, Street: LANSDOWNE STREET, Lat: -37.8107433, Lon: 144.9780532, ZoneType: General
Sensor ID: 25764, Street: EXHIBITION STREET, Lat: -37.8157781, Lon: 144.972161, ZoneType: Commercial
Sensor ID: 26233, Street: LITTLE LONSDALE STREET, Lat: -37.8138793, Lon: 144.9529076, ZoneType: Residential
Sensor ID: 26918, Street: THERRY STREET, Lat: -37.8073518, Lon: 144.9588893, ZoneType: Residential
Sensor ID: 25268, Street: ALBERT STREET, Lat: -37.811031, Lon: 144.989911, ZoneType: General
Sensor ID: 26188, Street: FLINDERS LANE, Lat: -37.8144318, Lon: 144.9739746, ZoneType: Commercial
Sensor ID: 26583, Street: DUDLEY STREET, Lat: -37.8086801, Lon: 144.9545529, ZoneType: Commercial
Sensor ID: 27344, Street: CLARENDON STREET, Lat: -37.8130712, Lon: 144.9829852, ZoneType: Residential
Sensor ID: 26877, Street: BOURKE STREET, Lat: -37.8149226, Lon: 144.9570332, ZoneType: Center
Sensor ID: 27225, Street: LA TROBE STREET, Lat: -37.809102, Lon: 144.9657144, ZoneType: Residential
Sensor ID: 23970, Street: SPRING STREET, Lat: -37.8106732, Lon: 144.9726834, ZoneType: Residential
Sensor ID: 26816, Street: EXHIBITION STREET, Lat: -37.8085578, Lon: 144.9689644, ZoneType: Residential
Sensor ID: 26742, Street: CLARENDON STREET, Lat: -37.812391, Lon: 144.9833382, ZoneType: Residential
Sensor ID: 26359, Street: QUEEN STREET, Lat: -37.8158435, Lon: 144.9609743, ZoneType: Residential
Sensor ID: 27191, Street: NICHOLSON STREET, Lat: -37.8097048, Lon: 144.9730159, ZoneType: Center
Sensor ID: 26568, Street: KING STREET, Lat: -37.8161828, Lon: 144.9555237, ZoneType: Residential
Sensor ID: 26536, Street: QUEEN STREET, Lat: -37.8136768, Lon: 144.9602292, ZoneType: Commercial
Sensor ID: 26392, Street: FLINDERS LANE, Lat: -37.8174547, Lon: 144.9636411, ZoneType: Commercial
Sensor ID: 26107, Street: HARBOUR ESPLANADE, Lat: -37.8203478, Lon: 144.9471679, ZoneType: Residential
Sensor ID: 27870, Street: AIRLIE STREET, Lat: -37.831848, Lon: 144.9870165, ZoneType: Residential
Sensor ID: 25934, Street: KING STREET, Lat: -37.8197201, Lon: 144.9571483, ZoneType: Residential
Sensor ID: 23972, Street: SPRING STREET, Lat: -37.8088834, Lon: 144.9719139, ZoneType: Center
Sensor ID: 23973, Street: SPRING STREET, Lat: -37.8082699, Lon: 144.9717549, ZoneType: Commercial
Sensor ID: 26104, Street: MERCHANT STREET, Lat: -37.8208474, Lon: 144.9442597, ZoneType: Residential
Sensor ID: 25209, Street: QUEEN STREET, Lat: -37.818322, Lon: 144.9623622, ZoneType: Center
Sensor ID: 26265, Street: VICTORIA STREET, Lat: -37.8051147, Lon: 144.9500794, ZoneType: Residential
Sensor ID: 25340, Street: JOLIMONT TERRACE, Lat: -37.8169996, Lon: 144.9819984, ZoneType: Commercial
Sensor ID: 23980, Street: GRANT STREET, Lat: -37.8254756, Lon: 144.9688492, ZoneType: Residential
Sensor ID: 23978, Street: CHETWYND STREET, Lat: -37.8043737, Lon: 144.9524045, ZoneType: Center
Sensor ID: 23979, Street: LEVESON STREET, Lat: -37.8044411, Lon: 144.9510059, ZoneType: Residential
Sensor ID: 27052, Street: COLLINS STREET, Lat: -37.8147115, Lon: 144.9694567, ZoneType: Commercial
Sensor ID: 26660, Street: LITTLE COLLINS STREET, Lat: -37.8164034, Lon: 144.9596015, ZoneType: Residential
Sensor ID: 26820, Street: RUSSELL STREET, Lat: -37.8113886, Lon: 144.9674614, ZoneType: Commercial
Sensor ID: 27040, Street: QUEEN STREET, Lat: -37.8143869, Lon: 144.960303, ZoneType: Commercial
Sensor ID: 25219, Street: QUEEN STREET, Lat: -37.811564, Lon: 144.95927, ZoneType: Residential
Sensor ID: 26175, Street: QUEEN STREET, Lat: -37.8123281, Lon: 144.9596143, ZoneType: Residential
Sensor ID: 23989, Street: CAPEL STREET, Lat: -37.8048388, Lon: 144.9553354, ZoneType: Commercial
Sensor ID: 25553, Street: PALMER STREET, Lat: -37.8175889, Lon: 144.9807845, ZoneType: Residential
Sensor ID: 27469, Street: CHETWYND STREET, Lat: -37.8058712, Lon: 144.9521417, ZoneType: Center
Sensor ID: 28178, Street: EXHIBITION STREET, Lat: -37.81155, Lon: 144.9702482, ZoneType: Residential
Sensor ID: 24563, Street: LITTLE BOURKE STREET, Lat: -37.8155175, Lon: 144.9549449, ZoneType: Residential
Sensor ID: 25077, Street: ELIZABETH STREET, Lat: -37.8073821, Lon: 144.9601197, ZoneType: Residential
Sensor ID: 23994, Street: COLLINS STREET, Lat: -37.8167094, Lon: 144.9581993, ZoneType: Residential
Sensor ID: 23996, Street: BRENTANI WAY, Lat: -37.8212866, Lon: 144.9506999, ZoneType: Commercial
Sensor ID: 23993, Street: WATERVIEW WALK, Lat: -37.8197371, Lon: 144.9479344, ZoneType: Residential
Sensor ID: 26572, Street: KING STREET, Lat: -37.8111356, Lon: 144.9531919, ZoneType: Residential
Sensor ID: 28012, Street: WALSH STREET, Lat: -37.8321264, Lon: 144.9859552, ZoneType: Residential
Sensor ID: 24001, Street: RUSSELL STREET, Lat: -37.8144169, Lon: 144.9688503, ZoneType: Residential
Sensor ID: 24993, Street: VICTORIA STREET, Lat: -37.805816, Lon: 144.9546915, ZoneType: Commercial
Sensor ID: 25976, Street: QUEENSBERRY STREET, Lat: -37.8031264, Lon: 144.9504164, ZoneType: Residential
